Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,,Player2,Salary1,,,
120,Corey Kispert,24,WAS,SF,80,22,25.8,4.8,9.9,0.486,2.3,6,0.383,2.5,3.9,0.643,0.602,1.4,2,0.726,0.4,2.4,2.8,2,0.5,0.2,1.2,1.8,13.4,5705887.00,,Zaccharie Risacher,"$12,569,040 ",,,
121,Andrew Wiggins,28,GSW,SF,71,59,27,5,11,0.453,1.3,3.6,0.358,3.7,7.4,0.498,0.511,2,2.7,0.751,1.5,3,4.5,1.7,0.6,0.6,1.2,2.1,13.2,26276786.00,,Brandon Clarke,"$12,500,000 ",,,
122,Keyonte George,20,UTA,PG,75,44,27,4.3,10.9,0.391,2,5.9,0.334,2.3,5,0.459,0.482,2.5,3,0.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,1.2,13,4084265.00,,Marvin Bagley,"$12,500,000 ",,,
123,P.J. Washington,25,2TM,PF,73,45,30.4,4.8,11.1,0.436,1.8,5.7,0.32,3,5.5,0.558,0.518,1.4,2,0.683,1.2,4.5,5.6,1.9,1,0.8,1.3,2.3,12.9,15500000.00,,Jalen Green,"$12,483,048 ",,,
123,P.J. Washington,25,CHO,PF,44,17,29.2,5.2,11.6,0.446,1.8,5.5,0.324,3.4,6,0.558,0.524,1.5,2.1,0.713,1.2,4.1,5.3,2.2,0.9,0.7,1.5,2.5,13.6,15500000.00,,Robert Williams,"$12,428,571 ",,,
123,P.J. Washington,25,DAL,PF,29,28,32.2,4.4,10.4,0.421,1.8,5.8,0.314,2.6,4.6,0.556,0.508,1.1,1.8,0.627,1.1,5.1,6.2,1.5,1.2,0.9,1,2,11.7,15500000.00,,PJ Tucker,"$12,165,577 ",,,
124,Scotty Pippen Jr.,23,MEM,PG,21,16,25.1,4.8,9.7,0.493,1.4,3.4,0.417,3.3,6.2,0.534,0.567,2,2.6,0.745,1,2.1,3.2,4.7,1.7,0.5,2.7,2.9,12.9,2087519.00,,Paolo Banchero,"$12,160,800 ",,,
125,Duncan Robinson,29,MIA,SF,68,36,28,4.5,9.9,0.45,2.8,7,0.395,1.7,3,0.579,0.589,1.2,1.3,0.889,0.2,2.3,2.5,2.8,0.7,0.2,1.4,2.4,12.9,19406000.00,,Coby White,"$12,000,000 ",,,
126,Dillon Brooks,28,HOU,SF,72,72,30.9,4.6,10.7,0.428,1.8,5.1,0.359,2.7,5.5,0.492,0.515,1.7,2,0.844,0.7,2.7,3.4,1.7,0.9,0.1,1.2,3.3,12.7,22255493.00,,Wendell Carter,"$11,950,000 ",,,
127,Mark Williams,22,CHO,C,19,19,26.7,5.2,7.9,0.649,0,0,,5.2,7.9,0.649,0.649,2.4,3.4,0.719,4,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7,4094280.00,,Ivica Zubac,"$11,743,210 ",,,
128,Jalen Suggs,22,ORL,SG,75,75,27,4.5,9.5,0.471,2,5.1,0.397,2.4,4.4,0.556,0.578,1.6,2.1,0.756,0.6,2.4,3.1,2.7,1.4,0.6,1.8,2.7,12.6,9188385.00,,Donte DiVincenzo,"$11,445,000 ",,,
129,Jrue Holiday,33,BOS,PG,69,69,32.8,4.8,10,0.48,2,4.7,0.429,2.8,5.3,0.526,0.581,0.9,1,0.833,1.2,4.2,5.4,4.8,0.9,0.8,1.8,1.6,12.5,30000000.00,,Brandon Miller,"$11,424,382 ",,,
130,Brook Lopez,35,MIL,C,79,79,30.5,4.6,9.6,0.485,1.9,5.1,0.366,2.8,4.4,0.621,0.583,1.4,1.7,0.821,1.5,3.7,5.2,1.6,0.5,2.4,1,2.4,12.5,23000000.00,,Terance Mann,"$11,423,077 ",,,
131,Josh Giddey,21,OKC,SG,80,80,25.1,5,10.6,0.475,1,3,0.337,4,7.6,0.53,0.523,1.3,1.6,0.806,1.4,5,6.4,4.8,0.6,0.6,2.1,1.4,12.3,8352367.00,,Alex Sarr,"$11,245,680 ",,,
132,Cam Whitmore,19,HOU,SF,47,2,18.7,4.5,9.9,0.454,1.7,4.7,0.359,2.8,5.3,0.538,0.539,1.6,2.4,0.679,0.9,2.9,3.8,0.7,0.6,0.4,1,1.4,12.3,3379068.00,,Evan Mobley,"$11,227,657 ",,,
133,Harrison Barnes,31,SAC,PF,82,82,29,4.2,8.9,0.474,1.8,4.7,0.387,2.4,4.2,0.571,0.576,1.9,2.4,0.801,0.8,2.2,3,1.2,0.7,0.1,0.7,1.2,12.2,18000000.00,,Larry Nance Jr,"$11,205,000 ",,,
134,Ayo Dosunmu,24,CHI,SG,76,37,29.1,4.7,9.5,0.501,1.6,3.9,0.403,3.2,5.6,0.568,0.583,1.1,1.4,0.81,0.7,2.1,2.8,3.2,0.9,0.5,1.4,2.2,12.2,7000000.00,,Matisse Thybulle,"$11,025,000 ",,,
135,Javonte Green,30,CHI,SF,9,5,25.6,5,8.3,0.6,1.1,3,0.37,3.9,5.3,0.729,0.667,1.1,1.4,0.769,2.2,5.2,7.4,0.6,1.1,0.9,0.8,2.1,12.2,2425403.00,,Gabe Vincent,"$11,000,000 ",,,
136,Aaron Nesmith,24,IND,SF,72,47,27.7,4.4,8.8,0.496,1.9,4.6,0.419,2.4,4.2,0.581,0.606,1.5,1.9,0.781,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,11000000.00,,Aaron Nesmith,"$11,000,000 ",,,
137,Max Strus,27,CLE,SF,70,70,32,4.3,10.4,0.418,2.4,6.8,0.351,1.9,3.6,0.546,0.533,1.1,1.4,0.794,0.9,3.9,4.8,4,0.9,0.4,1.6,2.4,12.2,15212068.00,,Maxi Kleber,"$11,000,000 ",,,
138,Jonas Valančiūnas,31,NOP,C,82,82,23.5,4.9,8.8,0.559,0.5,1.5,0.308,4.5,7.3,0.609,0.585,2,2.5,0.785,2.3,6.5,8.8,2.1,0.4,0.8,1.4,2.7,12.2,9900000.00,,Moritz Wagner,"$11,000,000 ",,,
139,Buddy Hield,31,2TM,SF,84,42,25.7,4.4,10.1,0.436,2.6,6.8,0.386,1.8,3.4,0.539,0.565,0.6,0.7,0.881,0.7,2.5,3.2,2.8,0.8,0.5,1.2,2,12.1,8780488.00,,Chet Holmgren,"$10,880,640 ",,,
139,Buddy Hield,31,IND,SF,52,28,25.7,4.4,9.9,0.443,2.6,6.9,0.384,1.8,3.1,0.575,0.575,0.5,0.6,0.848,0.7,2.6,3.2,2.7,0.8,0.6,1.2,2,12,8780488.00,,Chris Boucher,"$10,810,000 ",,,
139,Buddy Hield,31,PHI,SG,32,14,25.8,4.4,10.4,0.426,2.6,6.6,0.389,1.9,3.8,0.492,0.55,0.8,0.8,0.923,0.8,2.3,3.2,3,0.8,0.3,1.3,2.1,12.2,8780488.00,,Jarred Vanderbilt,"$10,714,286 ",,,
140,Tyus Jones,27,WAS,PG,66,66,29.3,4.9,10.1,0.489,1.6,3.9,0.414,3.3,6.2,0.537,0.569,0.5,0.6,0.8,0.3,2.4,2.7,7.3,1.1,0.3,1,0.7,12,3003427.00,,Aaron Wiggins,"$10,514,017 ",,,
141,Jaime Jaquez Jr.,22,MIA,SF,75,20,28.2,4.5,9.3,0.489,0.9,2.7,0.322,3.7,6.6,0.558,0.536,1.9,2.3,0.811,1.1,2.7,3.8,2.6,1,0.3,1.5,2.2,11.9,3685800.00,,Chris Paul,"$10,460,000 ",,,
142,Nic Claxton,24,BRK,C,71,71,29.8,5.2,8.2,0.629,0,0.1,0.2,5.1,8.1,0.633,0.63,1.5,2.8,0.551,2.7,7.2,9.9,2.1,0.6,2.1,1.3,2.5,11.8,27556817.00,,Scoot Henderson,"$10,259,449 ",,,
143,Marvin Bagley III,24,2TM,C,50,25,21.1,4.8,8.2,0.586,0.2,0.5,0.391,4.6,7.7,0.597,0.597,1.9,2.5,0.762,2.6,3.6,6.2,1.1,0.4,0.7,1.2,1.6,11.7,12500000.00,,Isaac Okoro,"$10,185,186 ",,,
143,Marvin Bagley III,24,DET,C,26,10,18.4,4.1,7,0.591,0,0.2,0.167,4.1,6.7,0.606,0.594,1.9,2.3,0.82,1.8,2.8,4.5,1,0.2,0.5,1.1,1.5,10.2,12500000.00,,Scottie Barnes,"$10,130,980 ",,,
143,Marvin Bagley III,24,WAS,C,24,15,24,5.5,9.5,0.581,0.3,0.7,0.471,5.2,8.8,0.59,0.599,1.9,2.7,0.708,3.5,4.6,8.1,1.2,0.6,0.8,1.3,1.7,13.3,12500000.00,,Reed Sheppard,"$10,098,960 ",,,
144,Ivica Zubac,26,LAC,C,68,68,26.4,5,7.6,0.649,0,0,,5,7.6,0.649,0.649,1.8,2.4,0.723,2.9,6.3,9.2,1.4,0.3,1.2,1.2,2.6,11.7,11743210.00,,Mike Conley,"$9,975,962 ",,,
145,Cole Anthony,23,ORL,PG,81,0,22.4,4.1,9.4,0.435,1.1,3.4,0.338,3,6,0.49,0.496,2.2,2.7,0.826,0.8,3,3.8,2.9,0.8,0.5,1.6,2.2,11.6,12900000.00,,Jonas Valanciunas,"$9,900,000 ",,,
146,Jeremy Sochan,20,SAS,PF,74,73,29.6,4.6,10.5,0.438,0.9,3.1,0.308,3.6,7.4,0.492,0.483,1.5,1.9,0.771,1.9,4.6,6.4,3.4,0.8,0.5,1.9,2.3,11.6,5570040.00,,Alex Caruso,"$9,890,000 ",,,
147,Clint Capela,29,ATL,C,73,73,25.8,4.8,8.5,0.571,0,0,0,4.8,8.5,0.572,0.571,1.8,2.8,0.631,4.6,6,10.6,1.2,0.6,1.5,1,2.2,11.5,22265280.00,,Jabari Smith,"$9,770,880 ",,,
148,Mike Conley,36,MIN,PG,76,76,28.9,3.9,8.5,0.457,2.4,5.3,0.442,1.5,3.1,0.481,0.595,1.3,1.5,0.911,0.5,2.4,2.9,5.9,1.2,0.2,1.3,1.7,11.4,9975962.00,,Derrick Jones,"$9,523,810 ",,,
149,Malik Beasley,27,MIL,SG,79,77,29.6,4.1,9.1,0.443,2.8,6.9,0.413,1.2,2.3,0.533,0.598,0.3,0.4,0.714,0.5,3.2,3.7,1.4,0.7,0.1,0.7,2,11.3,6000000.00,,Al Horford,"$9,500,000 ",,,
150,Brandon Clarke,27,MEM,PF,6,1,22.3,5.5,9.8,0.559,0.2,1,0.167,5.3,8.8,0.604,0.568,0.2,1.2,0.143,2.2,3.2,5.3,1.5,0.8,1,0.5,1.3,11.3,12500000.00,,Pat Connaughton,"$9,423,869 ",,,
151,Zach Collins,26,SAS,C,69,29,22.1,4.3,8.9,0.484,0.8,2.6,0.32,3.5,6.3,0.552,0.531,1.8,2.3,0.753,1.7,3.7,5.4,2.8,0.5,0.8,1.9,3,11.2,16741200.00,,Royce O'Neale,"$9,375,000 ",,,
152,De'Anthony Melton,25,PHI,SG,38,33,26.9,3.7,9.5,0.386,2,5.6,0.36,1.6,3.8,0.425,0.493,1.7,2.1,0.835,0.7,3,3.7,3,1.6,0.4,1,2.2,11.1,12822000.00,,TJ McConnell,"$9,300,000 ",,,
153,Jakob Poeltl,28,TOR,C,50,50,26.4,5,7.6,0.656,0,0,,5,7.6,0.656,0.656,1.2,2.1,0.551,2.9,5.7,8.6,2.5,0.7,1.5,1.5,3,11.1,19500000.00,,Luke Kennard,"$9,250,000 ",,,
154,Russell Westbrook,35,LAC,PG,68,11,22.5,4.4,9.8,0.454,0.6,2.3,0.273,3.8,7.5,0.509,0.486,1.6,2.4,0.688,1.4,3.7,5,4.5,1.1,0.3,2.1,1.8,11.1,5631296.00,,Amen Thompson,"$9,249,748 ",,,
155,Daniel Gafford,25,2TM,PF,74,66,24.5,4.7,6.5,0.725,0,0,,4.7,6.5,0.725,0.725,1.6,2.4,0.674,2.6,5,7.6,1.6,0.9,2.1,1,3.1,11,13394160.00,,Jalen Suggs,"$9,188,385 ",,,
155,Daniel Gafford,25,WAS,C,45,45,26.5,4.5,6.5,0.69,0,0,,4.5,6.5,0.69,0.69,1.9,2.6,0.706,2.9,5.1,8,1.5,1,2.2,1,3.3,10.9,13394160.00,,Caleb Martin,"$9,186,594 ",,,
155,Daniel Gafford,25,DAL,PF,29,21,21.5,5,6.4,0.78,0,0,,5,6.4,0.78,0.78,1.2,1.9,0.607,2.2,4.7,6.9,1.6,0.7,1.9,1,2.8,11.2,13394160.00,,Gary Payton II,"$9,130,000 ",,,
156,Wendell Carter Jr.,24,ORL,C,55,48,25.6,4.1,7.7,0.525,1.2,3.1,0.374,2.9,4.6,0.626,0.6,1.7,2.4,0.694,2,4.9,6.9,1.7,0.6,0.5,1.2,2.2,11,11950000.00,,Stephon Castle,"$9,105,120 ",,,
157,Eric Gordon,35,PHO,SG,68,24,27.8,4,9.1,0.443,2.2,5.8,0.378,1.8,3.3,0.561,0.565,0.8,0.9,0.797,0.2,1.6,1.8,2,1,0.4,1.1,1.2,11,3303771.00,,Tre Jones,"$9,104,167 ",,,
158,Herbert Jones,25,NOP,SF,76,76,30.5,3.9,7.7,0.498,1.5,3.6,0.418,2.4,4.1,0.568,0.595,1.8,2.1,0.867,1,2.6,3.6,2.6,1.4,0.8,1.2,2.9,11,12976362.00,,Goga Bitadze,"$9,057,971 ",,,
159,Luke Kennard,27,MEM,SG,39,22,25.6,3.6,8.1,0.448,2.7,6.1,0.45,0.9,2,0.442,0.617,1,1.2,0.889,0.3,2.6,2.9,3.5,0.5,0.1,1.4,1,11,9250000.00,,Zeke Nnaji,"$8,888,889 ",,,
160,Luguentz Dort,24,OKC,SF,79,79,28.4,3.6,8.3,0.438,2,5,0.394,1.7,3.3,0.506,0.557,1.6,2,0.826,0.9,2.7,3.6,1.4,0.9,0.6,0.9,2.9,10.9,16500000.00,,Keegan Murray,"$8,809,560 ",,,
161,Jusuf Nurkić,29,PHO,C,76,76,27.3,4.2,8.3,0.51,0.3,1.2,0.244,3.9,7.1,0.555,0.528,2.2,3.4,0.64,2.9,8.1,11,4,1.1,1.1,2.3,3.3,10.9,18125000.00,,Buddy Hield,"$8,780,488 ",,,
162,Isaiah Stewart,22,DET,PF,46,45,30.9,4,8.3,0.487,1.5,3.8,0.383,2.6,4.5,0.575,0.575,1.4,1.8,0.753,1.6,5,6.6,1.6,0.4,0.8,1.4,2.2,10.9,15000000.00,,Kyle Anderson,"$8,780,488 ",,,
163,Moritz Wagner,26,ORL,C,80,1,17.7,4.2,6.9,0.601,0.5,1.4,0.33,3.7,5.5,0.673,0.636,2.1,2.6,0.814,1.5,2.9,4.3,1.2,0.5,0.3,1.2,2,10.9,11000000.00,,Jalen Smith,"$8,571,429 ",,,
164,Bruce Brown,27,2TM,SG,67,44,27.9,4.1,8.7,0.478,0.8,2.4,0.323,3.4,6.2,0.538,0.523,1.7,2.1,0.824,0.8,3.4,4.2,2.9,0.9,0.3,1.3,2.2,10.8,23000000.00,,Naji Marshall,"$8,571,429 ",,,
164,Bruce Brown,27,IND,SG,33,33,29.7,4.5,9.5,0.475,1,3.1,0.327,3.5,6.5,0.545,0.527,2,2.5,0.817,0.8,3.9,4.7,3,1.1,0.2,1.2,2.5,12.1,23000000.00,,Georges Niang,"$8,500,000 ",,,
164,Bruce Brown,27,TOR,PG,34,11,26,3.8,7.9,0.481,0.6,1.9,0.317,3.2,6,0.532,0.519,1.5,1.8,0.833,0.8,3,3.8,2.7,0.7,0.3,1.3,2,9.6,23000000.00,,Ausar Thompson,"$8,376,291 ",,,
165,Jake LaRavia,22,MEM,PF,35,6,23,3.4,8.7,0.389,1.5,4.5,0.34,1.9,4.2,0.442,0.477,2.6,3.1,0.826,1.5,2.2,3.7,1.7,0.8,0.3,1.3,2,10.8,3352680.00,,Josh Giddey,"$8,352,367 ",,,
166,Santi Aldama,23,MEM,PF,61,35,26.5,4,9.3,0.435,1.7,5,0.349,2.3,4.3,0.534,0.528,0.9,1.4,0.621,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,10.7,3960531.00,,Josh Okogie,"$8,250,000 ",,,
167,Simone Fontecchio,28,2TM,SF,66,43,24.9,3.8,8.3,0.46,2,5.1,0.401,1.8,3.2,0.551,0.582,0.8,1,0.818,1,2.8,3.7,1.5,0.7,0.3,1,1.7,10.5,7692308.00,,Ron Holland,"$8,245,320 ",,,
167,Simone Fontecchio,28,UTA,SF,50,34,23.2,3.2,7.2,0.45,1.8,4.7,0.391,1.4,2.5,0.56,0.577,0.6,0.8,0.8,1,2.5,3.5,1.5,0.6,0.4,1,1.6,8.9,7692308.00,,Cody Martin,"$8,120,000 ",,,
167,Simone Fontecchio,28,DET,SF,16,9,30.3,5.7,11.9,0.479,2.7,6.3,0.426,3,5.6,0.539,0.592,1.4,1.6,0.846,0.8,3.6,4.4,1.8,0.9,0.3,1.1,1.8,15.4,7692308.00,,Jock Landale,"$8,000,000 ",,,
168,Spencer Dinwiddie,30,2TM,PG,76,52,28.3,3.3,8.4,0.392,1.6,4.8,0.337,1.7,3.6,0.467,0.489,2.2,2.8,0.805,0.4,2.3,2.7,4.7,0.7,0.3,1.2,1.8,10.5,3303771.00,,Kevon Looney,"$8,000,000 ",,,
168,Spencer Dinwiddie,30,BRK,PG,48,48,30.7,4.1,10.4,0.391,1.9,5.8,0.32,2.2,4.6,0.48,0.48,2.6,3.3,0.781,0.5,2.8,3.3,6,0.8,0.2,1.3,1.8,12.6,3303771.00,,Jeff Green,"$8,000,000 ",,,
168,Spencer Dinwiddie,30,LAL,PG,28,4,24.2,2,5,0.397,1.3,3.2,0.389,0.8,1.8,0.412,0.521,1.6,1.8,0.88,0.1,1.5,1.7,2.4,0.5,0.5,1,1.9,6.8,3303771.00,,Trey Lyles,"$8,000,000 ",,,
169,Jaden McDaniels,23,MIN,SF,72,71,29.2,4.3,8.7,0.489,1.2,3.5,0.337,3.1,5.2,0.592,0.557,0.8,1.1,0.722,0.8,2.3,3.1,1.4,0.9,0.6,1.2,3,10.5,23017242.00,,Kelly Oubre,"$7,983,000 ",,,
170,Alec Burks,32,2TM,SG,66,1,18.4,3.2,8.6,0.369,1.9,5,0.376,1.3,3.6,0.36,0.478,2.2,2.5,0.868,0.4,1.9,2.3,1.3,0.4,0.2,0.7,1.1,10.4,3303771.00,,Jaden Ivey,"$7,977,240 ",,,
170,Alec Burks,32,DET,SG,43,0,21,3.7,9.4,0.394,2.3,5.7,0.401,1.4,3.7,0.384,0.516,2.8,3.1,0.903,0.4,2.2,2.6,1.6,0.5,0.3,0.7,1.5,12.6,3303771.00,,KJ Martin,"$7,975,000 ",,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vasilije Micic,"$7,723,000 ",,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simone Fontecchio,"$7,692,308 ",,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Kuminga,"$7,636,307 ",,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Black,"$7,607,754 ",,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jae'Sean Tate,"$7,565,217 ",,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gary Harris,"$7,500,000 ",,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidjane Salaun,"$7,488,720 ",,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bennedict Mathurin,"$7,245,720 ",,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Christie,"$7,142,857 ",,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franz Wagner,"$7,007,092 ",,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayo Dosunmu,"$7,000,000 ",,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bilal Coulibaly,"$6,945,240 ",,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donovan Clingan,"$6,836,400 ",,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payton Pritchard,"$6,696,429 ",,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kenrich Williams,"$6,669,000 ",,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shaedon Sharpe,"$6,614,160 ",,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jevon Carter,"$6,500,000 ",,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davion Mitchell,"$6,451,077 ",,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saddiq Bey,"$6,440,678 ",,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jarace Walker,"$6,362,433 ",,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rob Dillingham,"$6,262,920 ",,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dean Wade,"$6,166,667 ",,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Konchar,"$6,165,000 ",,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ziaire Williams,"$6,133,005 ",,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dyson Daniels,"$6,059,520 ",,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malik Beasley,"$6,000,000 ",,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Achiuwa,"$6,000,000 ",,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Duarte,"$5,893,768 ",,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taylor Hendricks,"$5,848,366 ",,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moses Moody,"$5,803,269 ",,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zach Edey,"$5,756,880 ",,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert,"$5,705,887 ",,,
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russell Westbrook,"$5,631,296 ",,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremy Sochan,"$5,570,040 ",,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cason Wallace,"$5,555,920 ",,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cody Williams,"$5,469,120 ",,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alperen Sengun,"$5,424,654 ",,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnny Davis,"$5,291,160 ",,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jett Howard,"$5,278,165 ",,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davis Bertans,"$5,250,000 ",,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reggie Jackson,"$5,250,000 ",,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haywood Highsmith,"$5,200,000 ",,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matas Buzelis,"$5,195,520 ",,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dario Saric,"$5,168,000 ",,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kris Dunn,"$5,168,000 ",,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trey Murphy,"$5,159,854 ",,,
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ousmane Dieng,"$5,027,040 ",,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dereck Lively,"$5,014,409 ",,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andre Drummond,"$5,000,000 ",,,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Richards,"$5,000,000 ",,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drew Eubanks,"$5,000,000 ",,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikola Topic,"$4,935,960 ",,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tre Mann,"$4,908,373 ",,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalen McDaniels,"$4,881,191 ",,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaden Springer,"$4,777,088 ",,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalen Williams,"$4,775,760 ",,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gradey Dick,"$4,763,543 ",,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miles McBride,"$4,710,144 ",,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devin Carter,"$4,689,000 ",,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolas Batum,"$4,668,000 ",,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Holiday,"$4,668,000 ",,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalen Duren,"$4,536,840 ",,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Hawkins,"$4,525,706 ",,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalen Johnson,"$4,510,905 ",,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Len,"$4,480,977 ",,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlton Carrington,"$4,454,880 ",,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isaiah Jackson,"$4,435,380 ",,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nickeil Alexander-Walker,"$4,312,500 ",,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ochai Agbaji,"$4,310,280 ",,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bones Hyland,"$4,306,427 ",,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobe Bufkin,"$4,298,956 ",,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quentin Grimes,"$4,296,682 ",,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kel'el Ware,"$4,231,800 ",,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams,"$4,094,280 ",,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyonte George,"$4,084,265 ",,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Thomas,"$4,041,249 ",,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalen Hood-Schifino,"$4,021,384 ",,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jared McCain,"$4,020,360 ",,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paul Reed,"$4,015,938 ",,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dwight Powell,"$4,000,000 ",,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day'Ron Sharpe,"$3,989,122 ",,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santiago Aldama,"$3,960,531 ",,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amir Coffey,"$3,938,271 ",,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torrey Craig,"$3,891,631 ",,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin Love,"$3,850,000 ",,,
